tartan_name,image_url
Atlantic Tide,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Atlantic%20Tide.jpg
Auld Acquaintance,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Auld%20Acquaintance.jpg
Beltane Blaze,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Beltane%20Blaze.jpg
Birnham Oak,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Birnham%20Oak.jpg
Caledonia Calling,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Caledonia%20Calling.jpg
Celtic Stone,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Celtic%20Stone.jpg
Folklore,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Folklore.jpg
Glen Affric,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Glen%20Affric.jpg
Highlander Wanderer,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Highlander%20Wanderer.jpg
Homeward,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Homeward.jpg
Hunting Tower,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Hunting%20Tower.jpg
Juniper Brea,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Juniper%20Brea.jpg
Mountain Bothy,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Mountain%20Bothy.jpg
Noble Eagle,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Noble%20Eagle.jpg
Noble Stag,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Noble%20Stag.jpg
Open Skies,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Open%20Skies.jpg
Rocky Shore,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Rocky%20Shore.jpg
Rolling Thunder,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Rolling%20Thunder.jpg
Scottish Valour,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Scottish%20Valour.jpg
Shetland Fire,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Shetland%20Fire.jpg
Stand Fast,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Stand%20Fast.jpg
Tay Bank,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Tay%20Bank.jpg
The Alchemist,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/The%20Alchemist.jpg
The Drover,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/The%20Drover.jpg
The Great Glen,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/The%20Great%20Glen.jpg
The Outlaw,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/The%20Outlaw.jpg
The Pretender,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/The%20Pretender.jpg
The Rebel,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/The%20Rebel.jpg
Wilder Seas,https://obibnblucftyzbtzequj.supabase.co/storage/v1/object/public/tartanStorage/House%20of%20Edgar/1783/Wilder%20Seas.jpg
